id,title,up,img,views,likes,stars,shares,coins,link,introduction,created_at,updated_at
1068948883,英雄联盟：没有音响的潘森，能打过剑魔吗？来感受下战争星灵的压迫感！,521686097,http://i2.hdslb.com/bfs/archive/93efd2e90d7953cd748d7190a467680b3e8ca9ad.jpg,399198,29855,68,264,1079,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,"学了180天的游戏动画，这个作品当毕业设计了?
显卡：好看吗？我拿命换的！
之前有个观众老爷要帅的视频
我觉得前半部分还挺帅哈哈",2023-05-30 19:41:55,2023-06-27 20:14:28
1069028813,一个人去吃饭的路上，有棵树治好了我的孤独。,1474965865,http://i1.hdslb.com/bfs/archive/6220339910ece848b0604d9904c07318018a719d.jpg,1107028,149872,646,2989,12449,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,-,2023-05-30 19:41:55,2023-05-30 21:06:36
1069179218,三 个 月 前 我 浑 身 麻 痹,21979556,http://i2.hdslb.com/bfs/archive/0317435078c77f500b9c73ea8380b409513504f3.jpg,391173,18689,284,2820,2640,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,你还有脸回来？,2023-05-30 19:41:55,
1069834414,《时空中的绘旅人》全新活动「瑰梦奇境」PV首曝：迷雾惊疑，瑰梦循路,441833336,http://i0.hdslb.com/bfs/archive/72344db88ed0fee5b36f985ef367077cc7e57447.jpg,795632,42232,1286,10029,9794,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,"【全新活动「瑰梦奇境」PV公开】

窃窃私语、窃窃私语，乌鸦在嘲笑；
簌簌书声、簌簌书声，时间会停滞。
跑啊，勿听那迷离笛音；逃吧，勿视那盈润满月。
真相是否重要？觉醒或是覆灭，只在瞬息之间。

全新活动「瑰梦奇境」上篇将于3月30日更新后开启。迷雾惊疑，瑰梦循路。在混沌的怪奇小镇中，见证长眠者的苏生。
※ 更多画灵情报、全新玩法及福利内容，请留意后续公告。

立即下载游戏：https://www.biligame.com/detail/?id=103915&sourceFrom=1112?
B站专属官方Q群：1047078077",2023-05-30 19:41:55,
1070399105,浅唱一段铃芽之旅主题曲《すずめ》【多多poi】,11253297,http://i2.hdslb.com/bfs/archive/b28c8c3bd865658e5cfab8ecf0e3c38de1a3f628.jpg,988907,155841,565,5444,21602,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,"尝试了一种新的翻唱形式！
唱了一小段《すずめ》
混音：猫耳studio",2023-05-30 19:41:55,
1070912246,服务器刚开服一周竟然就遭遇了毁灭式攻击！！！！,1076872109,http://i0.hdslb.com/bfs/archive/ac93c0ee2a321129fd6ddfea8bc936e8b65e2400.jpg,757104,135902,1075,269,29080,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,"相信大家看完视频了，这两天修复真的费了我们不少精力
视频结尾提到如何进入服务器 
这里是裙：740606046
进裙后会有详细教程哦",2023-05-30 19:41:55,
1071272790,年货（0分钟空气版）,527277977,http://i2.hdslb.com/bfs/archive/2c7a0a09b4ed431427b382a11ef45b3656d2c9f3.jpg,334216,37150,2732,1523,13396,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,-up做了三个月，快要累死了呜呜呜，求求大家给个三连吧,2023-05-30 19:41:55,
1071642301,十年后你儿子问你：现在电影这么烂你当初怎么看下去的？,56345895,http://i0.hdslb.com/bfs/archive/ee97e6d7f47ff9ad180d85518b43171db43942d0.jpg,403931,27113,362,697,3473,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,于是你给他看了这些电影,2023-05-30 19:41:55,
1071720679,中 门 对 狙,6054967,http://i1.hdslb.com/bfs/archive/90b3520bd3671aaad28105f8fda9a9275560500e.jpg,619085,53447,612,10884,11938,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,-,2023-05-30 19:41:55,
1071738170,挑战！随机任务吃美食！选惠灵顿牛排还是蟹黄面？,54911793,http://i2.hdslb.com/bfs/archive/e827e89ec55fe3d5f770db036af92ecefadf84e6.jpg,2097595,21943,357,85,5689,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,-,2023-05-30 19:41:55,
1072081711,“三斤的小猫，七斤的可爱！！”,1850119898,http://i0.hdslb.com/bfs/archive/b2776da6f3fbd5e412873872c788057fb593df24.jpg,318990,14166,248,1346,835,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,,2023-05-30 19:41:55,
1072594268,七七:Ai大叔，阔以给我也画个嘛,391636983,http://i2.hdslb.com/bfs/archive/7a016cd12b22d1d829608764bc5377f9255097e6.jpg,920273,43307,88,2130,1059,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,"AI绘画:stable diffusion
model : miHoYo/观海/
stage： 柠檬香草
Motion :JonnyL
MME: Rui / そぼろ / ビ`ムマンP / ikeno / デ`タP
BGM : n/a",2023-05-30 19:41:55,
1072647882,防盗墓机关之“断龙石天顶沙”,452060800,http://i0.hdslb.com/bfs/archive/85941472cc9fd19d8f5f1951c294b29379c44fa7.jpg,401587,12814,522,548,1100,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,灵感来自小伙伴和小说，仅供参考娱乐,2023-05-30 19:41:55,
1072653268,中国最牛！河南胖东来！逼疯世界500强！超市天花板！妹子迷失在特价美食里！,107486042,http://i2.hdslb.com/bfs/archive/495afd4ca9a58c820effccdb5686ecdeb0da4f7a.jpg,1306198,57831,2948,9847,6965,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,"发自内心的觉得胖东来并不好 想给他个建议


没开在我这里很不好 赶紧开过来！！！
超市里的天花板！这是真的牛！真的很尊重每一个人??！
服务的魔鬼细节太细了！！服务全国超市里的顶级！
喜欢这个视频的朋友记得点赞三连 看过即去过 ！
点赞三连好运连连！",2023-05-30 19:41:55,2023-06-27 21:53:24
1072886181,IVE回归先行曲《Kitsch》MV,400667244,http://i2.hdslb.com/bfs/archive/88cca839c2fd657290d3443689bba0103176b341.jpg,461015,16734,1135,4670,1366,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,IVE,2023-05-30 19:41:55,
1072938807,问题不大，终身监禁｜【海东老师】2023年3月27日直播,11083481,http://i2.hdslb.com/bfs/archive/769f433e3f953afe344ca457daec0236b510ec00.jpg,784739,19531,9421,2920,1737,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,-,2023-05-30 19:41:55,
1073086589,我是新手，该买什么相机？从2k到4w，年度相机大盘点！,946974,http://i1.hdslb.com/bfs/archive/68d58e0ed9a03e89fae3162e46d123154b923000.jpg,1160379,96794,8828,21618,52673,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,这次我们开启了一个全新系列，盘点市面上大部分的相机，结合自己的使用体验和市场的主流评价，挑选出不同赛道的优胜选手，希望能给你挑选相机一点帮助！如果你喜欢本期视频，别忘了给我们点赞投币！,2023-05-30 19:41:55,
1073696607,我爱我的椅子,1577804,http://i0.hdslb.com/bfs/archive/11d08c63b98529dc77a14f21bf5a3b79dac1d18b.jpg,511356,72598,4413,1878,26200,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,当小马坐上了宝马电竞座椅的那一刻，一切就注定，不平凡。,2023-05-30 19:41:55,
1073815725,世界盛大灿烂，你可以是千千万万,90142376,http://i1.hdslb.com/bfs/archive/f7bf541b55b0d0a7d1214afa5c505463e5d4cb92.jpg,296346,23144,368,1208,4522,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,BGM：莫西子诗 - 不要怕&啊杰咯,2023-05-30 19:41:55,
1074168145,"法国人24小时看小潮院长, 不会把自己看死了吗?",434157581,http://i0.hdslb.com/bfs/archive/fd30a505d16a83a3aaae269d46d07780de9cd425.jpg,385748,32237,885,320,2849,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,我终于看了你们都推荐的中国博主小潮院长的视频! 问题是... 我挺喜欢!,2023-05-30 19:41:55,
1074209209,芬兰家人血战爆辣湘菜馆子辣到飙泪！一口剁椒一口酸豆角爽翻天！汤汁喝干净！奶茶上瘾到想马上去中国！,323024456,http://i0.hdslb.com/bfs/archive/6ec5fbbd98e4c1947539ccc95c363c954ed5196d.jpg,696049,61183,3603,563,29703,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,"芬兰家人第一次见识到传说中湖南馆子爆辣程度被惊呆了！
剁椒排骨，爆辣金钱肚，酸豆角炒牛肉简直太过瘾！一口剁椒一口蒜蓉简直上头！蒜蓉粉丝虾和卤牛肉简直惊艳了侄儿侄女，获得一致好评！居然汤都被喝的干干净净？！侄子已经是奶茶专家，恨不得一天N杯奶茶，直呼想马上去中国！还有和侄儿侄女逛街的哈哈哈日常，希望大家看的开心！

*本视频含合作【摇滚动物园】谢谢大家的支持，我们才有合作的机会！",2023-05-30 19:41:55,
1074286238,这个游戏告诉你什么叫【武德】・《sifu》,28266043,http://i2.hdslb.com/bfs/archive/b754fd8bad97237d11c4323a915b86de57e9c03b.jpg,269980,26633,1639,869,15156,http://vali-g1.cp31.ott.cibntv.net/youku/697446c85e14171c789dd2e19/030008010063EEE4E2010BE212B6CF96302AC3-4F0C-4E1C-85EC-C1951BACD94D.mp4?sid=167929725600010003194_00_B18920f2dde5e01b66b0d894b111478cb&sign=1ac94b68c382fdc16544442e8a85dd94&ctype=50&si=183&psid=85ac4a01039bd75c1105687b9bec8c1b41346,"一款你以为是青铜实则是王者的游戏，《sifu》。让我在复仇游戏中体会了“饶恕你，与你何干？”的境界。【武德】的本质是什么？这款游戏为你深刻诠释。
┅┄┅┄┅┄┅┄┅┄┅┄┅┄┅┄┅┄┅┄┅┅┄┅┄┅
BGM：Sifu Digital Original Soundtrack-Howie?Lee
┅┄┅┄┅┄┅┄┅┄┅┄┅┄┅┄┅┄┅┄┅┅┄┅┄┅
本期部分精彩操作部分由以下师父们提供：
6分52秒：
片段表演：沉沦DESCEND?
片段解说：霜小花呀
素材提供：D哥不鸽?
Boss：
法贾：接受设定的大明
肖恩：老巴西
锦凤：JC橘橙
黑木&扬：空嚣亦成风吟",2023-05-30 19:41:55,
